Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Republic of Indonesia,2012,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.27%,2.67%,3.96%,GBD 2012,Communicable Diseases
Global,2013,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.72%,2.34%,3.13%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.20%,2.59%,3.89%,GBD 2013,Communicable Diseases
Global,2014,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.69%,2.31%,3.11%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.14%,2.53%,3.84%,GBD 2014,Communicable Diseases
Global,2015,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.67%,2.28%,3.10%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.11%,2.50%,3.82%,GBD 2015,Communicable Diseases
Global,2016,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.69%,2.27%,3.15%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.16%,2.52%,3.85%,GBD 2016,Communicable Diseases
Global,2017,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.70%,2.27%,3.20%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.20%,2.56%,3.93%,GBD 2017,Communicable Diseases
Global,2018,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.69%,2.25%,3.20%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.05%,2.44%,3.78%,GBD 2018,Communicable Diseases
Global,2019,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.67%,2.22%,3.18%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.71%,2.18%,3.33%,GBD 2019,Communicable Diseases
Global,1990,Diarrhea,Diarrheal diseases,Both,All ages,1.39%,1.27%,1.51%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,Diarrhea,Diarrheal diseases,Both,All ages,1.03%,0.94%,1.12%,GBD 1990,Communicable Diseases
Global,1991,Diarrhea,Diarrheal diseases,Both,All ages,1.37%,1.26%,1.48%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,Diarrhea,Diarrheal diseases,Both,All ages,0.99%,0.91%,1.08%,GBD 1991,Communicable Diseases
Global,1992,Diarrhea,Diarrheal diseases,Both,All ages,1.36%,1.25%,1.46%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,Diarrhea,Diarrheal diseases,Both,All ages,0.96%,0.88%,1.04%,GBD 1992,Communicable Diseases
Global,1993,Diarrhea,Diarrheal diseases,Both,All ages,1.34%,1.24%,1.45%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,Diarrhea,Diarrheal diseases,Both,All ages,0.93%,0.86%,1.01%,GBD 1993,Communicable Diseases
Global,1994,Diarrhea,Diarrheal diseases,Both,All ages,1.34%,1.24%,1.44%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,Diarrhea,Diarrheal diseases,Both,All ages,0.91%,0.84%,0.98%,GBD 1994,Communicable Diseases
Global,1995,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,Diarrhea,Diarrheal diseases,Both,All ages,0.89%,0.82%,0.96%,GBD 1995,Communicable Diseases
Global,1996,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.23%,1.43%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,Diarrhea,Diarrheal diseases,Both,All ages,0.87%,0.81%,0.94%,GBD 1996,Communicable Diseases
Global,1997,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,Diarrhea,Diarrheal diseases,Both,All ages,0.86%,0.80%,0.93%,GBD 1997,Communicable Diseases
Global,1998,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,Diarrhea,Diarrheal diseases,Both,All ages,0.85%,0.78%,0.92%,GBD 1998,Communicable Diseases
Global,1999,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.78%,0.91%,GBD 1999,Communicable Diseases
Global,2000,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,Diarrhea,Diarrheal diseases,Both,All ages,0.83%,0.77%,0.90%,GBD 2000,Communicable Diseases
Global,2001,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.42%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,Diarrhea,Diarrheal diseases,Both,All ages,0.83%,0.77%,0.90%,GBD 2001,Communicable Diseases
Global,2002,Diarrhea,Diarrheal diseases,Both,All ages,1.32%,1.23%,1.41%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.77%,0.91%,GBD 2002,Communicable Diseases
Global,2003,Diarrhea,Diarrheal diseases,Both,All ages,1.30%,1.22%,1.39%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.78%,0.91%,GBD 2003,Communicable Diseases
Global,2004,Diarrhea,Diarrheal diseases,Both,All ages,1.29%,1.20%,1.38%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.78%,0.91%,GBD 2004,Communicable Diseases
Global,2005,Diarrhea,Diarrheal diseases,Both,All ages,1.27%,1.19%,1.36%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.78%,0.91%,GBD 2005,Communicable Diseases
Global,2006,Diarrhea,Diarrheal diseases,Both,All ages,1.26%,1.18%,1.34%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,Diarrhea,Diarrheal diseases,Both,All ages,0.84%,0.77%,0.91%,GBD 2006,Communicable Diseases
Global,2007,Diarrhea,Diarrheal diseases,Both,All ages,1.24%,1.16%,1.32%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,Diarrhea,Diarrheal diseases,Both,All ages,0.83%,0.76%,0.90%,GBD 2007,Communicable Diseases
Global,2008,Diarrhea,Diarrheal diseases,Both,All ages,1.22%,1.14%,1.30%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,Diarrhea,Diarrheal diseases,Both,All ages,0.82%,0.75%,0.89%,GBD 2008,Communicable Diseases
Global,2009,Diarrhea,Diarrheal diseases,Both,All ages,1.20%,1.13%,1.28%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,Diarrhea,Diarrheal diseases,Both,All ages,0.80%,0.74%,0.87%,GBD 2009,Communicable Diseases
Global,2010,Diarrhea,Diarrheal diseases,Both,All ages,1.20%,1.12%,1.28%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,Diarrhea,Diarrheal diseases,Both,All ages,0.80%,0.73%,0.87%,GBD 2010,Communicable Diseases
Global,2011,Diarrhea,Diarrheal diseases,Both,All ages,1.20%,1.13%,1.28%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,Diarrhea,Diarrheal diseases,Both,All ages,0.80%,0.73%,0.87%,GBD 2011,Communicable Diseases
Global,2012,Diarrhea,Diarrheal diseases,Both,All ages,1.21%,1.13%,1.29%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,Diarrhea,Diarrheal diseases,Both,All ages,0.80%,0.73%,0.87%,GBD 2012,Communicable Diseases
Global,2013,Diarrhea,Diarrheal diseases,Both,All ages,1.22%,1.14%,1.31%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,Diarrhea,Diarrheal diseases,Both,All ages,0.80%,0.74%,0.87%,GBD 2013,Communicable Diseases
Global,2014,Diarrhea,Diarrheal diseases,Both,All ages,1.23%,1.15%,1.32%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,Diarrhea,Diarrheal diseases,Both,All ages,0.81%,0.74%,0.88%,GBD 2014,Communicable Diseases
Global,2015,Diarrhea,Diarrheal diseases,Both,All ages,1.25%,1.16%,1.33%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,Diarrhea,Diarrheal diseases,Both,All ages,0.81%,0.75%,0.88%,GBD 2015,Communicable Diseases
Global,2016,Diarrhea,Diarrheal diseases,Both,All ages,1.27%,1.18%,1.36%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,Diarrhea,Diarrheal diseases,Both,All ages,0.82%,0.75%,0.89%,GBD 2016,Communicable Diseases
Global,2017,Diarrhea,Diarrheal diseases,Both,All ages,1.30%,1.21%,1.40%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,Diarrhea,Diarrheal diseases,Both,All ages,0.83%,0.75%,0.90%,GBD 2017,Communicable Diseases
Global,2018,Diarrhea,Diarrheal diseases,Both,All ages,1.31%,1.22%,1.41%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,Diarrhea,Diarrheal diseases,Both,All ages,0.88%,0.81%,0.96%,GBD 2018,Communicable Diseases
Global,2019,Diarrhea,Diarrheal diseases,Both,All ages,1.33%,1.24%,1.43%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,Diarrhea,Diarrheal diseases,Both,All ages,1.00%,0.93%,1.08%,GBD 2019,Communicable Diseases
Global,1990,Filariasis,Lymphatic filariasis,Both,All ages,4.17%,3.59%,4.97%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,Filariasis,Lymphatic filariasis,Both,All ages,8.42%,2.42%,24.92%,GBD 1990,Communicable Diseases
Global,1991,Filariasis,Lymphatic filariasis,Both,All ages,4.26%,3.74%,4.98%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,Filariasis,Lymphatic filariasis,Both,All ages,8.77%,3.02%,23.07%,GBD 1991,Communicable Diseases
Global,1992,Filariasis,Lymphatic filariasis,Both,All ages,4.32%,3.84%,5.02%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,Filariasis,Lymphatic filariasis,Both,All ages,9.08%,3.46%,22.27%,GBD 1992,Communicable Diseases
Global,1993,Filariasis,Lymphatic filariasis,Both,All ages,4.38%,3.88%,5.08%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,Filariasis,Lymphatic filariasis,Both,All ages,9.35%,3.69%,22.43%,GBD 1993,Communicable Diseases
Global,1994,Filariasis,Lymphatic filariasis,Both,All ages,4.43%,3.89%,5.18%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,Filariasis,Lymphatic filariasis,Both,All ages,9.57%,3.82%,24.34%,GBD 1994,Communicable Diseases
Global,1995,Filariasis,Lymphatic filariasis,Both,All ages,4.47%,3.87%,5.36%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,Filariasis,Lymphatic filariasis,Both,All ages,9.71%,3.45%,26.79%,GBD 1995,Communicable Diseases
Global,1996,Filariasis,Lymphatic filariasis,Both,All ages,4.50%,3.98%,5.28%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,Filariasis,Lymphatic filariasis,Both,All ages,9.93%,4.06%,24.34%,GBD 1996,Communicable Diseases
Global,1997,Filariasis,Lymphatic filariasis,Both,All ages,4.50%,4.02%,5.18%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,Filariasis,Lymphatic filariasis,Both,All ages,10.22%,4.47%,22.59%,GBD 1997,Communicable Diseases
Global,1998,Filariasis,Lymphatic filariasis,Both,All ages,4.49%,4.02%,5.09%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,Filariasis,Lymphatic filariasis,Both,All ages,10.49%,4.84%,22.43%,GBD 1998,Communicable Diseases
Global,1999,Filariasis,Lymphatic filariasis,Both,All ages,4.45%,3.97%,5.09%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,Filariasis,Lymphatic filariasis,Both,All ages,10.65%,4.75%,24.41%,GBD 1999,Communicable Diseases
Global,2000,Filariasis,Lymphatic filariasis,Both,All ages,4.41%,3.88%,5.14%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,Filariasis,Lymphatic filariasis,Both,All ages,10.57%,4.13%,26.78%,GBD 2000,Communicable Diseases
Global,2001,Filariasis,Lymphatic filariasis,Both,All ages,4.25%,3.81%,4.81%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,Filariasis,Lymphatic filariasis,Both,All ages,10.03%,4.61%,22.69%,GBD 2001,Communicable Diseases
Global,2002,Filariasis,Lymphatic filariasis,Both,All ages,3.93%,3.56%,4.39%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,Filariasis,Lymphatic filariasis,Both,All ages,8.91%,4.37%,18.43%,GBD 2002,Communicable Diseases
Global,2003,Filariasis,Lymphatic filariasis,Both,All ages,3.52%,3.20%,3.90%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,Filariasis,Lymphatic filariasis,Both,All ages,7.56%,3.72%,15.44%,GBD 2003,Communicable Diseases
Global,2004,Filariasis,Lymphatic filariasis,Both,All ages,3.13%,2.83%,3.50%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,Filariasis,Lymphatic filariasis,Both,All ages,6.34%,3.03%,14.49%,GBD 2004,Communicable Diseases
Global,2005,Filariasis,Lymphatic filariasis,Both,All ages,2.84%,2.53%,3.26%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,Filariasis,Lymphatic filariasis,Both,All ages,5.58%,2.31%,13.68%,GBD 2005,Communicable Diseases
Global,2006,Filariasis,Lymphatic filariasis,Both,All ages,2.59%,2.33%,2.92%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,Filariasis,Lymphatic filariasis,Both,All ages,5.12%,2.48%,11.17%,GBD 2006,Communicable Diseases
Global,2007,Filariasis,Lymphatic filariasis,Both,All ages,2.24%,2.03%,2.51%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,Filariasis,Lymphatic filariasis,Both,All ages,4.57%,2.23%,9.42%,GBD 2007,Communicable Diseases
Global,2008,Filariasis,Lymphatic filariasis,Both,All ages,1.88%,1.70%,2.12%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,Filariasis,Lymphatic filariasis,Both,All ages,4.03%,1.95%,8.41%,GBD 2008,Communicable Diseases
Global,2009,Filariasis,Lymphatic filariasis,Both,All ages,1.57%,1.39%,1.83%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,Filariasis,Lymphatic filariasis,Both,All ages,3.59%,1.63%,8.51%,GBD 2009,Communicable Diseases
Global,2010,Filariasis,Lymphatic filariasis,Both,All ages,1.39%,1.19%,1.70%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,Filariasis,Lymphatic filariasis,Both,All ages,3.33%,1.25%,9.65%,GBD 2010,Communicable Diseases
Global,2011,Filariasis,Lymphatic filariasis,Both,All ages,1.32%,1.14%,1.58%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,Filariasis,Lymphatic filariasis,Both,All ages,3.21%,1.42%,8.66%,GBD 2011,Communicable Diseases
Global,2012,Filariasis,Lymphatic filariasis,Both,All ages,1.27%,1.13%,1.49%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,Filariasis,Lymphatic filariasis,Both,All ages,3.10%,1.45%,7.88%,GBD 2012,Communicable Diseases
Global,2013,Filariasis,Lymphatic filariasis,Both,All ages,1.25%,1.10%,1.47%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,Filariasis,Lymphatic filariasis,Both,All ages,2.99%,1.38%,7.89%,GBD 2013,Communicable Diseases
Global,2014,Filariasis,Lymphatic filariasis,Both,All ages,1.23%,1.07%,1.48%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,Filariasis,Lymphatic filariasis,Both,All ages,2.91%,1.30%,8.57%,GBD 2014,Communicable Diseases
Global,2015,Filariasis,Lymphatic filariasis,Both,All ages,1.21%,1.03%,1.50%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,Filariasis,Lymphatic filariasis,Both,All ages,2.85%,1.14%,9.91%,GBD 2015,Communicable Diseases
Global,2016,Filariasis,Lymphatic filariasis,Both,All ages,1.07%,0.92%,1.30%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,Filariasis,Lymphatic filariasis,Both,All ages,2.57%,1.05%,7.99%,GBD 2016,Communicable Diseases
Global,2017,Filariasis,Lymphatic filariasis,Both,All ages,0.95%,0.77%,1.27%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,Filariasis,Lymphatic filariasis,Both,All ages,2.31%,0.70%,10.11%,GBD 2017,Communicable Diseases
Global,2018,Filariasis,Lymphatic filariasis,Both,All ages,0.96%,0.78%,1.28%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,Filariasis,Lymphatic filariasis,Both,All ages,2.32%,0.70%,10.12%,GBD 2018,Communicable Diseases
Global,2019,Filariasis,Lymphatic filariasis,Both,All ages,0.97%,0.79%,1.29%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,Filariasis,Lymphatic filariasis,Both,All ages,2.33%,0.70%,10.13%,GBD 2019,Communicable Diseases
Global,1990,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.39%,0.47%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.40%,0.48%,GBD 1990,Communicable Diseases
Global,1991,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.39%,0.47%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.40%,0.47%,GBD 1991,Communicable Diseases
Global,1992,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.39%,0.46%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.39%,0.47%,GBD 1992,Communicable Diseases
Global,1993,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.39%,0.46%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,Hepatitis,Acute hepatitis,Both,All ages,0.43%,0.39%,0.46%,GBD 1993,Communicable Diseases
Global,1994,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.39%,0.46%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.39%,0.46%,GBD 1994,Communicable Diseases
Global,1995,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.38%,0.46%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.38%,0.46%,GBD 1995,Communicable Diseases
Global,1996,Hepatitis,Acute hepatitis,Both,All ages,0.41%,0.38%,0.45%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,Hepatitis,Acute hepatitis,Both,All ages,0.42%,0.38%,0.46%,GBD 1996,Communicable Diseases
Global,1997,Hepatitis,Acute hepatitis,Both,All ages,0.41%,0.38%,0.45%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,Hepatitis,Acute hepatitis,Both,All ages,0.41%,0.37%,0.45%,GBD 1997,Communicable Diseases
Global,1998,Hepatitis,Acute hepatitis,Both,All ages,0.41%,0.37%,0.44%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.37%,0.44%,GBD 1998,Communicable Diseases
Global,1999,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.37%,0.44%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.36%,0.44%,GBD 1999,Communicable Diseases
Global,2000,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.36%,0.44%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.36%,0.44%,GBD 2000,Communicable Diseases
Global,2001,Hepatitis,Acute hepatitis,Both,All ages,0.40%,0.36%,0.43%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.36%,0.43%,GBD 2001,Communicable Diseases
Global,2002,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.36%,0.43%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.36%,0.43%,GBD 2002,Communicable Diseases
Global,2003,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.35%,0.42%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.36%,0.43%,GBD 2003,Communicable Diseases
Global,2004,Hepatitis,Acute hepatitis,Both,All ages,0.38%,0.35%,0.42%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.35%,0.43%,GBD 2004,Communicable Diseases
Global,2005,Hepatitis,Acute hepatitis,Both,All ages,0.38%,0.34%,0.41%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,Hepatitis,Acute hepatitis,Both,All ages,0.39%,0.35%,0.43%,GBD 2005,Communicable Diseases
Global,2006,Hepatitis,Acute hepatitis,Both,All ages,0.37%,0.34%,0.41%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,Hepatitis,Acute hepatitis,Both,All ages,0.38%,0.35%,0.42%,GBD 2006,Communicable Diseases
Global,2007,Hepatitis,Acute hepatitis,Both,All ages,0.37%,0.34%,0.40%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,Hepatitis,Acute hepatitis,Both,All ages,0.38%,0.34%,0.41%,GBD 2007,Communicable Diseases
Global,2008,Hepatitis,Acute hepatitis,Both,All ages,0.37%,0.34%,0.40%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,Hepatitis,Acute hepatitis,Both,All ages,0.37%,0.34%,0.41%,GBD 2008,Communicable Diseases
Global,2009,Hepatitis,Acute hepatitis,Both,All ages,0.36%,0.33%,0.39%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,Hepatitis,Acute hepatitis,Both,All ages,0.37%,0.33%,0.40%,GBD 2009,Communicable Diseases
Global,2010,Hepatitis,Acute hepatitis,Both,All ages,0.36%,0.33%,0.39%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,Hepatitis,Acute hepatitis,Both,All ages,0.36%,0.33%,0.40%,GBD 2010,Communicable Diseases
Global,2011,Hepatitis,Acute hepatitis,Both,All ages,0.35%,0.33%,0.39%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,Hepatitis,Acute hepatitis,Both,All ages,0.36%,0.32%,0.39%,GBD 2011,Communicable Diseases
Global,2012,Hepatitis,Acute hepatitis,Both,All ages,0.35%,0.32%,0.38%,GBD 2012,Communicable Diseases
Republic of Indonesia,2012,Hepatitis,Acute hepatitis,Both,All ages,0.35%,0.32%,0.39%,GBD 2012,Communicable Diseases
Global,2013,Hepatitis,Acute hepatitis,Both,All ages,0.34%,0.32%,0.38%,GBD 2013,Communicable Diseases
Republic of Indonesia,2013,Hepatitis,Acute hepatitis,Both,All ages,0.35%,0.31%,0.38%,GBD 2013,Communicable Diseases
Global,2014,Hepatitis,Acute hepatitis,Both,All ages,0.34%,0.31%,0.37%,GBD 2014,Communicable Diseases
Republic of Indonesia,2014,Hepatitis,Acute hepatitis,Both,All ages,0.34%,0.31%,0.38%,GBD 2014,Communicable Diseases
Global,2015,Hepatitis,Acute hepatitis,Both,All ages,0.34%,0.31%,0.37%,GBD 2015,Communicable Diseases
Republic of Indonesia,2015,Hepatitis,Acute hepatitis,Both,All ages,0.33%,0.30%,0.37%,GBD 2015,Communicable Diseases
Global,2016,Hepatitis,Acute hepatitis,Both,All ages,0.33%,0.30%,0.36%,GBD 2016,Communicable Diseases
Republic of Indonesia,2016,Hepatitis,Acute hepatitis,Both,All ages,0.33%,0.30%,0.36%,GBD 2016,Communicable Diseases
Global,2017,Hepatitis,Acute hepatitis,Both,All ages,0.33%,0.30%,0.36%,GBD 2017,Communicable Diseases
Republic of Indonesia,2017,Hepatitis,Acute hepatitis,Both,All ages,0.32%,0.29%,0.35%,GBD 2017,Communicable Diseases
Global,2018,Hepatitis,Acute hepatitis,Both,All ages,0.32%,0.30%,0.35%,GBD 2018,Communicable Diseases
Republic of Indonesia,2018,Hepatitis,Acute hepatitis,Both,All ages,0.31%,0.29%,0.34%,GBD 2018,Communicable Diseases
Global,2019,Hepatitis,Acute hepatitis,Both,All ages,0.32%,0.29%,0.35%,GBD 2019,Communicable Diseases
Republic of Indonesia,2019,Hepatitis,Acute hepatitis,Both,All ages,0.31%,0.28%,0.35%,GBD 2019,Communicable Diseases
Global,1990,Malaria,Malaria,Both,All ages,2.85%,2.61%,3.31%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,Malaria,Malaria,Both,All ages,0.73%,0.38%,1.27%,GBD 1990,Communicable Diseases
Global,1991,Malaria,Malaria,Both,All ages,2.86%,2.63%,3.21%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,Malaria,Malaria,Both,All ages,0.72%,0.43%,1.16%,GBD 1991,Communicable Diseases
Global,1992,Malaria,Malaria,Both,All ages,2.86%,2.65%,3.16%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,Malaria,Malaria,Both,All ages,0.70%,0.44%,1.07%,GBD 1992,Communicable Diseases
Global,1993,Malaria,Malaria,Both,All ages,2.88%,2.67%,3.14%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,Malaria,Malaria,Both,All ages,0.68%,0.43%,1.00%,GBD 1993,Communicable Diseases
Global,1994,Malaria,Malaria,Both,All ages,2.90%,2.69%,3.16%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,Malaria,Malaria,Both,All ages,0.66%,0.40%,0.99%,GBD 1994,Communicable Diseases
Global,1995,Malaria,Malaria,Both,All ages,2.92%,2.71%,3.19%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,Malaria,Malaria,Both,All ages,0.63%,0.33%,1.02%,GBD 1995,Communicable Diseases
Global,1996,Malaria,Malaria,Both,All ages,2.95%,2.75%,3.19%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,Malaria,Malaria,Both,All ages,0.60%,0.38%,0.90%,GBD 1996,Communicable Diseases
Global,1997,Malaria,Malaria,Both,All ages,2.97%,2.78%,3.22%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,Malaria,Malaria,Both,All ages,0.57%,0.38%,0.79%,GBD 1997,Communicable Diseases
Global,1998,Malaria,Malaria,Both,All ages,3.00%,2.81%,3.25%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,Malaria,Malaria,Both,All ages,0.52%,0.38%,0.68%,GBD 1998,Communicable Diseases
Global,1999,Malaria,Malaria,Both,All ages,3.03%,2.84%,3.28%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,Malaria,Malaria,Both,All ages,0.48%,0.36%,0.60%,GBD 1999,Communicable Diseases
Global,2000,Malaria,Malaria,Both,All ages,3.07%,2.87%,3.33%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,Malaria,Malaria,Both,All ages,0.45%,0.32%,0.56%,GBD 2000,Communicable Diseases
